epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,5732.84,1.5574,1.09453,0.90834,0.43846,0.31177,0.31826,0.18038,1.48515,1.06302,0.90304,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,5834.34,1.54259,1.08954,0.91053,0.43898,0.31195,0.31936,0.18037,1.48238,1.06454,0.90229,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,5935.61,1.54532,1.0894,0.90842,0.42685,0.31754,0.31752,0.18106,1.48563,1.06422,0.90232,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,6039.35,1.54537,1.09028,0.90923,0.4262,0.32213,0.31896,0.18138,1.47917,1.05882,0.90188,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,6141.64,1.551,1.08741,0.90773,0.43303,0.31403,0.31708,0.18178,1.48196,1.06283,0.90287,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,6261.49,1.54641,1.08204,0.90716,0.43655,0.31335,0.32067,0.18264,1.48346,1.06192,0.9039,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,6379.29,1.54933,1.08133,0.90694,0.43441,0.32126,0.32488,0.18468,1.47661,1.05777,0.90187,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,6483.05,1.54418,1.08245,0.9077,0.44973,0.31777,0.32394,0.18441,1.47728,1.05281,0.90189,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,6590.8,1.54055,1.07753,0.9033,0.44214,0.32108,0.32232,0.1844,1.48141,1.0529,0.90245,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,6697.51,1.54802,1.08168,0.90561,0.45237,0.32342,0.3272,0.18642,1.47691,1.05359,0.90279,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,6801.09,1.54164,1.07431,0.90397,0.42866,0.32223,0.32199,0.18337,1.47912,1.05631,0.90222,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,6902.69,1.53384,1.07331,0.9058,0.43218,0.3226,0.32323,0.18444,1.47218,1.05396,0.90106,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,7004.61,1.52134,1.06559,0.90721,0.43114,0.3271,0.32403,0.18548,1.47588,1.05338,0.90155,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,7107.44,1.53886,1.07474,0.90327,0.43183,0.3284,0.32514,0.18529,1.47122,1.04895,0.90127,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,7208.51,1.53069,1.0667,0.90412,0.44577,0.3234,0.32569,0.18625,1.4668,1.04807,0.89974,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,7310.6,1.53117,1.06971,0.90679,0.44625,0.31983,0.32499,0.1859,1.46865,1.04891,0.90004,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,7411.6,1.53384,1.06778,0.90445,0.43566,0.32805,0.32668,0.18635,1.46856,1.04753,0.90029,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,7518.2,1.52079,1.0649,0.90379,0.44418,0.32752,0.32689,0.18732,1.46957,1.04597,0.89976,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,7622.61,1.5312,1.06311,0.90323,0.43743,0.32748,0.32707,0.18748,1.46816,1.04651,0.89967,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,7727.74,1.5212,1.05816,0.90133,0.43175,0.33164,0.32865,0.18822,1.46766,1.04402,0.89954,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,7830.61,1.52803,1.06163,0.90302,0.42951,0.32867,0.32673,0.18739,1.46733,1.04309,0.8998,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,7932.5,1.51761,1.05301,0.9017,0.43544,0.32805,0.32661,0.18692,1.46423,1.0405,0.89904,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,8034.43,1.51944,1.05425,0.90234,0.43232,0.33154,0.32945,0.18818,1.46295,1.04039,0.89921,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,8136.27,1.53129,1.05946,0.90376,0.4379,0.32643,0.32693,0.1871,1.46398,1.04379,0.89862,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,8238.15,1.51455,1.05197,0.90196,0.44654,0.32564,0.32855,0.18794,1.46206,1.04065,0.8984,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,8341.06,1.52016,1.04851,0.9014,0.4342,0.33045,0.32967,0.18939,1.46146,1.03802,0.89838,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,8451.89,1.51681,1.05246,0.90231,0.4354,0.33248,0.33069,0.18912,1.46418,1.03589,0.89949,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,8554.19,1.51682,1.05095,0.90168,0.4304,0.33454,0.33008,0.18816,1.463,1.03537,0.89848,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,8656.13,1.51713,1.0509,0.90239,0.44361,0.32901,0.33053,0.18878,1.46053,1.03515,0.89814,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,8758.69,1.51749,1.04507,0.89977,0.43506,0.33232,0.33006,0.18866,1.45876,1.03577,0.89822,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,8860.57,1.51622,1.04843,0.89937,0.44757,0.32746,0.33178,0.18954,1.46081,1.03541,0.89867,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,8961.7,1.51152,1.04643,0.89835,0.43888,0.33175,0.33091,0.1892,1.46144,1.0372,0.89837,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,9064.01,1.50807,1.04046,0.89956,0.44263,0.33169,0.33198,0.1899,1.4549,1.03572,0.89737,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,9169.32,1.51293,1.03877,0.89861,0.43854,0.33837,0.33445,0.19171,1.45385,1.03349,0.89666,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,9278.73,1.50856,1.0405,0.89821,0.44684,0.33241,0.33332,0.19086,1.45467,1.03433,0.89677,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,9383.07,1.51361,1.04227,0.8985,0.44435,0.33489,0.33377,0.19089,1.45598,1.03446,0.89719,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,9486.69,1.50853,1.04073,0.90019,0.43735,0.33856,0.33501,0.19186,1.45412,1.03119,0.89594,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,9589.63,1.5089,1.0368,0.89661,0.43748,0.33635,0.33423,0.19158,1.45205,1.03163,0.89561,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,9691.89,1.50601,1.03717,0.89911,0.43984,0.3384,0.33582,0.19294,1.45251,1.02891,0.89597,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,9795.1,1.50479,1.03359,0.89819,0.43559,0.33765,0.33436,0.19216,1.45363,1.02881,0.89668,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,9896.5,1.4989,1.03207,0.89914,0.43205,0.33926,0.33438,0.19227,1.45267,1.02865,0.89596,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,9997.53,1.49744,1.0288,0.89807,0.43866,0.337,0.33604,0.19346,1.45305,1.02849,0.89606,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,10099.4,1.50173,1.02873,0.89651,0.43809,0.33633,0.33693,0.19374,1.45134,1.02691,0.89592,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,10201.1,1.4955,1.02648,0.89687,0.43515,0.33664,0.33804,0.19421,1.45149,1.02744,0.89645,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,10304.3,1.49996,1.0319,0.89895,0.4427,0.33475,0.33758,0.19436,1.44919,1.02532,0.89617,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,10407.9,1.50413,1.03418,0.89731,0.44239,0.33396,0.33859,0.19416,1.44833,1.02397,0.89577,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,10511,1.49552,1.02436,0.89621,0.4427,0.33773,0.3392,0.19429,1.44771,1.02226,0.89605,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,10613.5,1.4999,1.02951,0.89633,0.43846,0.33948,0.339,0.19411,1.44761,1.02195,0.896,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,10715.8,1.494,1.0227,0.8971,0.43903,0.33969,0.33895,0.19291,1.44687,1.02299,0.89541,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,10819.8,1.49428,1.02217,0.89493,0.43991,0.33759,0.33911,0.19312,1.44648,1.02258,0.89483,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,10921.7,1.49274,1.02293,0.8943,0.43413,0.34123,0.33911,0.19335,1.44635,1.02286,0.8945,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,11023.3,1.4898,1.02312,0.89549,0.43851,0.34057,0.33955,0.19415,1.44437,1.02041,0.89432,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,11125.2,1.49668,1.02238,0.89441,0.43897,0.34121,0.33991,0.19381,1.44471,1.02061,0.89507,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,11227.7,1.48056,1.01359,0.89524,0.44745,0.33646,0.3398,0.19388,1.44493,1.02019,0.89501,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,11329.5,1.48183,1.01007,0.8934,0.44933,0.3368,0.33996,0.1938,1.44438,1.01967,0.89482,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,11448.1,1.48607,1.01428,0.89639,0.44348,0.33644,0.33838,0.19318,1.44347,1.01894,0.89472,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,11570.2,1.48943,1.01378,0.89403,0.44659,0.33794,0.33907,0.19327,1.44302,1.01847,0.89454,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,11686.3,1.48395,1.01466,0.89538,0.45053,0.33655,0.33953,0.19366,1.44272,1.01752,0.89455,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,11803.7,1.4895,1.01528,0.89501,0.44375,0.33918,0.33936,0.19384,1.4444,1.01831,0.89468,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,11908,1.48642,1.01354,0.89529,0.44439,0.33761,0.33969,0.19414,1.44359,1.01818,0.89448,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,12010.5,1.48589,1.01076,0.89272,0.44478,0.33947,0.34023,0.19444,1.44286,1.01842,0.89411,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,12112.7,1.48409,1.01091,0.89369,0.44386,0.34007,0.33976,0.19414,1.44381,1.01846,0.89433,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,12214.7,1.48475,1.00559,0.89163,0.44558,0.33698,0.33965,0.19381,1.44338,1.01923,0.89429,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,12317.6,1.49053,1.01045,0.89343,0.44489,0.33841,0.33922,0.1941,1.44251,1.01958,0.89418,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,12421.5,1.4888,1.00966,0.89353,0.44262,0.33967,0.33903,0.19406,1.44265,1.0198,0.8941,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,12525.5,1.47444,1.00152,0.89175,0.4442,0.33822,0.33983,0.19439,1.44249,1.01938,0.89423,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,12628.9,1.47547,1.00133,0.89315,0.44697,0.33676,0.33923,0.1943,1.44183,1.01953,0.89408,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,12732.5,1.47954,1.00268,0.89191,0.44446,0.33718,0.33958,0.19471,1.44152,1.01911,0.89405,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,12835.9,1.46955,0.99986,0.89222,0.44142,0.33574,0.33875,0.19413,1.44237,1.01889,0.89429,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,12937.8,1.4857,1.00668,0.89207,0.44206,0.3388,0.33878,0.19429,1.4415,1.01885,0.89427,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,13040.2,1.48141,1.00203,0.8926,0.43995,0.34148,0.33839,0.19417,1.44116,1.01943,0.89406,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,13143,1.47249,0.9982,0.8919,0.44473,0.33915,0.33839,0.19376,1.44093,1.01889,0.89393,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,13245.2,1.47363,0.99791,0.89162,0.44702,0.33703,0.339,0.19439,1.4401,1.01871,0.89382,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,13347.2,1.47807,0.99562,0.89034,0.44957,0.33696,0.3386,0.19432,1.44062,1.01882,0.89398,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,13449,1.47624,0.99946,0.89126,0.45192,0.33725,0.34007,0.19463,1.43996,1.01846,0.89391,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,13550.5,1.47326,0.99336,0.89049,0.45073,0.33745,0.33968,0.19475,1.4403,1.01869,0.89395,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,13654.8,1.46923,0.99266,0.89236,0.44943,0.33775,0.33977,0.19457,1.43983,1.01882,0.89388,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,13758.9,1.46722,0.9891,0.89073,0.44554,0.33789,0.33907,0.19462,1.43962,1.01869,0.89376,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
133,13861.6,1.46888,0.98885,0.89054,0.44825,0.33719,0.33891,0.19456,1.43961,1.01858,0.89361,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
134,13963.9,1.47228,0.98973,0.88699,0.45144,0.33645,0.33868,0.19438,1.43981,1.01851,0.89368,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165
