epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,4528.61,1.53311,1.07472,0.90966,0.41492,0.32382,0.3144,0.1801,1.4722,1.06398,0.90365,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,4637.94,1.53772,1.07857,0.90846,0.42272,0.32574,0.32324,0.18492,1.46181,1.05915,0.90154,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,4746.58,1.53372,1.07363,0.90681,0.42301,0.32519,0.32217,0.18401,1.46664,1.06262,0.90339,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,4856.07,1.52743,1.07412,0.90854,0.40131,0.33048,0.32089,0.183,1.46535,1.05843,0.90158,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,4964.35,1.53197,1.07347,0.90899,0.43721,0.32162,0.32334,0.18498,1.46183,1.05199,0.9012,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,5079.2,1.52444,1.06789,0.90589,0.4335,0.32391,0.32451,0.18476,1.46691,1.05337,0.9014,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,5188.79,1.52698,1.06496,0.90589,0.41854,0.32676,0.32122,0.18324,1.45874,1.05312,0.89924,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,5297.77,1.53395,1.07102,0.90549,0.42027,0.33027,0.32661,0.18686,1.4574,1.04654,0.89944,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,5407.23,1.52228,1.05847,0.9052,0.4373,0.32786,0.32814,0.1877,1.45932,1.04903,0.89938,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,5516.87,1.53231,1.06468,0.90641,0.44474,0.32624,0.32975,0.19018,1.45097,1.03993,0.89933,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
